Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C230,someone on my back or to black man. And what is your address? 3 6 1 3 8 little.,Burglary / robbery / intruder,North Carolina,Concerned,0.47
C231,"Thank you, like I'm putting. How the power of this kid. I'm rolling for the ripple of the nose.",Burglary / robbery / intruder,Texas,Concerned,0.47
C232,I'm going to come with us. Where are you at? I'm on end.,Shooting / gun violence,"Sanger, California",Concerned,0.63
C233,Look in my parents are shocked. You know what? My parents were shocked. You panicked with shots.,Homicide / death investigation,Florida,Distressed,0.66
C234,We had several police hire earlier and did a report based on...,Burglary / robbery / intruder,North Carolina,Concerned,0.47
C235,"Oh, my brother is having a great time to note that. Okay.",Shooting / gun violence,Colorado,Concerned,0.63
C236,"Well, I just strangled my girlfriend. You strangled your girlfriend? Yep. What's your name?",Stabbing / assault,"Alliance, Ohio",Concerned,0.59
C237,We had an airboat accident. I'm not sure if they're all in trees. I don't know.,Stabbing / assault,"Moore Haven, Florida",Concerned,0.59
C238,"Hey, I think I may have found",Homicide / death investigation,"Dare County, Ohio",Distressed,0.66
C239,I felt this is a lot of... ...and... drink.,Fall / accidental injury,"Palatine, Illinois",Concerned,0.48
C240,"I'm going to make a bomb. Okay, you said the hospital? Yes. Did you ever see now?",Shooting / gun violence,Ohio,Concerned,0.63
C241,"how some guys shooting their gun, some temple or something.",Homicide / death investigation,"Milwaukee County, Wisconsin",Distressed,0.66
C242,I was just going to 6th temple and there was a house in the parking lot and there was a bunch.,Homicide / death investigation,"Milwaukee County, Wisconsin",Distressed,0.66
C243,"I'm always learning to sing. Um, yes. Somebody just said my baby. Please be there. They just did what? Say my baby.",Stabbing / assault,New Jersey,Concerned,0.59
C244,"All this, it looks like a dead man in the car. I'm gonna put him in here.",Homicide / death investigation,Kentucky,Distressed,0.66
C245,Can I help you? Somebody who broke with our daughter's train to break into my bedroom. What's your address?,Burglary / robbery / intruder,"Clark County, Washington",Concerned,0.47
C246,"Please, please work. I'll get there for the maturity here. They're hearing, we're aware and they're shooting.",Shooting / gun violence,New Jersey,Concerned,0.63
C247,"Please, Farron. 911, this man's been having a hard attack. Brooke, we're going to start CPR on the hem, okay? I'm going to jump.",Medical emergency,"Washington County, Oregon",Concerned,0.53
C248,you. I'll be good you off at the shot. What agency sir?,Shooting / gun violence,Florida,Concerned,0.63
C249,I just killed my mom and my sister. What? I just killed my mom and my sister.,Homicide / death investigation,"Parker County, Texas",Distressed,0.66
C250,I'll call them me because I'm at a party. My son is fit. What park are you at?,Traffic collision,Ohio,Concerned,0.49
C251,We have two boards. Two boards. We have one. We have one. We have one. We have two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards.,Traffic collision,"Westchester County, New York",Concerned,0.49
C252,"that then with gardens and cinnings possible in the ladies at the moment. But yeah, I think that it had a hard problem. What is a mad address?",Medical emergency,"Bakersfield, California",Concerned,0.53
C253,I just committed a father's worst thing. Okay. I just shot my daughter.,Shooting / gun violence,Washington,Concerned,0.63
C254,"Yes, I have a three-year-old who's not breathing. To address, ma'am. 1-6-097 North Walgher.",Medical emergency,"Ector County, Texas",Concerned,0.53
C255,I have an emergency. I have three dead people up on top of cold. Here we sweat a wolf tent. My name is,Building fire,"Kanawha County, West Virginia",Concerned,0.59
C256,"Those penetrating. Okay, who is shot?",Homicide / death investigation,Utah,Distressed,0.66
C257,"I don't, a guy standing here, I think his wife is, is, is, strong with his wife.",Medical emergency,"Macomb County, Michigan",Concerned,0.53
C258,We need help! We need help! Hasn't just happened at my son. I'm trying to figure it out. Please!,Shooting / gun violence,"Newaygo County, Michigan",Concerned,0.63
C259,late this is a day of war back record to eleven or seven by call the budget or then my shop to eleven or seven,Shooting / gun violence,Oklahoma,Concerned,0.63
C260,"I'm not a good guy. What's in my vehicle, man? Nobody wants you to know where you're at. Where are you?",Homicide / death investigation,Colorado,Distressed,0.66
C261,"have you got any reports of a building exposure? Yes, we have. It's going to be Jerry Maswick in North Rock.",Building fire,"North Rock, Texas",Concerned,0.59
C262,"I like the movie, I like the movie, I like the movie, I like the movie, I like the movie,",Building fire,"West, Texas",Concerned,0.59
C263,We just have the explosion and the fire. Yes sir. The,Building fire,"West, Texas",Concerned,0.59
C264,"Gary Marcia, grab all the house blew up. Not the windshield out of my pickup.",Building fire,"West, Texas",Concerned,0.59
C265,"Yes, we're West Texas. Our fertilizer plant is blown up and our waste hole.",Building fire,"West, Texas",Concerned,0.59
C266,"Look, I'm out! Blow it! Okay, what's the end like? 1879!",Building fire,"West, Texas",Concerned,0.59
C267,"Oh, do the guy with the costume of the new gear ball right now. Do the chum go with the balls right now. Okay, hand right.",Shooting / gun violence,Virginia,Concerned,0.63
C268,My name is Hans Walters. I work for a lot to take as much upon a police department.,Homicide / death investigation,California,Distressed,0.66
C269,"I'm out with the high school, losing everything on. It's very thankful. Lots of fun.",Shooting / gun violence,"La Salle High School, Ohio",Concerned,0.63
C270,You need police fire ambulance.,Missing person / abduction,Ohio,Concerned,0.56
C271,We have a tutor in the store. Okay. Do you know if anybody's injured? I'm not sure. I'm not sure.,Shooting / gun violence,Oregon,Concerned,0.63
C272,"Okay, I need to get yourself to a safe location.",Shooting / gun violence,Oregon,Concerned,0.63
C273,Okay. We're at the town center. We're at me. We're at me. We're at me. We're at me.,Shooting / gun violence,Oregon,Concerned,0.63
C274,"by one one. Crackham-and-town center for the Cappella Woods fired in the mask. OK, they'll be on her way.",Shooting / gun violence,Oregon,Concerned,0.63
C275,"Hi, I'm a suicidal teenager at House 503 Night Hawkeye. I need an ambulance immediately.",Stabbing / assault,"New Hanover County, North Carolina",Concerned,0.59
C276,"500 feet, roll the cough, throw an ambulance, shot fired, a baby's been hit in the head.",Shooting / gun violence,Utah,Concerned,0.63
C277,"Can you get an ambulance in a cop? Go up the over to 59, older would drive. 59, what? Older.",Shooting / gun violence,"Stafford County, Virginia",Concerned,0.63
C278,"Hi, Madenah",Burglary / robbery / intruder,"Richland County, Wisconsin",Concerned,0.47
C279,So hurry up because it's a five-way happen. This is a five-way he came from on to my door earlier.,Burglary / robbery / intruder,"Manatee County, Florida",Concerned,0.47
C280,"We went to the quails on the minute. In the last night, the spring of mine here looks like you hit it head.",Medical emergency,"St. Clair County, Illinois",Concerned,0.53
C281,"Here at the empty over here, someone's been shot. 1220 photograph, Avenue. 1220.",Shooting / gun violence,California,Concerned,0.63
C282,"I'm a 69, 69 East Main. My son did shot his wife.",Shooting / gun violence,"Kalamazoo County, Michigan",Concerned,0.63
C283,I'm going to go to the floor. I'll just go right now. 5-4-8-3. 5-4-1.,Traffic collision,Georgia,Concerned,0.49
C284,"Yes, Sam. Shots fired, St. James.",Shooting / gun violence,"Weber County, Utah",Concerned,0.63
C285,"Yeah, I just attempted to kill my mother and my father. Okay, where are you at?",Stabbing / assault,"Trumbull County, Ohio",Concerned,0.59
C286,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to keep you all right now.",Medical emergency,"Delaware County, Oklahoma",Concerned,0.59
C287,"My neighbors helped us bring down at 312 Washington Avenue. We're on our way, is anybody inside?",Building fire,"312 Washington Avenue, California",Concerned,0.59
C288,I can see why I knew that I was happy with you. I love you.,Medical emergency,"Davis County, Utah",Concerned,0.53
C289,I'm reporting an airplane crash at the phone. An airplane crash at the phone? Yeah.,Building fire,California,Concerned,0.59
C290,"Hi, we just, where's the camp in Cisco Airport in our airplane just crashed upon landing.",Building fire,"Cisco Airport, California",Concerned,0.59
C291,I'm going to have a number one way to work through them.,Medical emergency,"Palm Coast, Florida",Concerned,0.53
C292,"Yeah, this is the emergency, I'm a cab driver, this guy. He's saying...",Homicide / death investigation,Kansas,Distressed,0.66
C293,"Can't believe. Can't believe. What happened to me, son? I don't know. I'm anywhere. Please.",Shooting / gun violence,Utah,Concerned,0.63
C294,Help me help me quick. I'll be at the end of the conversation.,Threat / suspicious activity,Illinois,Concerned,0.47
C295,I want to merge anybody right now.,Building fire,California,Concerned,0.59
C296,There's a fire on the Famicel Bridge if the one was ready. And on the Famicel.,Building fire,California,Concerned,0.59
C297,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them to hold down to police officer.",Shooting / gun violence,"second avenue, Georgia",Concerned,0.63
C298,He's in the house. He's in the house. He's in the house. He's in the house. He's in the house. He's in the house.,Shooting / gun violence,Iowa,Concerned,0.63
C299,"Yes, I'm using the help. I'm trapped in the backside of this forest fire.",Rescue / person trapped,"Monticello County, Arkansas",Concerned,0.63
C300,I'm working at Mike Donald up here in our overnight seven bro,Non-emergency / misuse of 911,Georgia,Calm,0.06
C301,"Yes, I didn't tact by a man in the woods while I was hunting. Please send the police to my location.",Shooting / gun violence,"Washington County, Oregon",Concerned,0.63
C302,We're going to stop with the radio lighting and electric supply building. Rainier lighting and electric.,Stabbing / assault,"Joint Base Lewis-McChord, Washington",Concerned,0.59
C303,"Yes, this is a treasure. It's really a huge and sweet to you, school. I will. I'll hear you.",Shooting / gun violence,Nevada,Concerned,0.63
C304,Here seems to be a bad fight. Next door.,Traffic collision,"York County, North Carolina",Concerned,0.49
C305,I am thinking of that and we are being followed. It's the honey we kill me.,Missing person / abduction,"South Daytona, Florida",Concerned,0.56
C306,"I think some people are shooting. Okay, and this is text. Okay.",Shooting / gun violence,North Carolina,Concerned,0.63
C307,"I'm about to kill people. You're about to kill people? Yes. I had a deadly weapon, I...",Shooting / gun violence,Canada,Concerned,0.63
C308,"Oh, hello. Hello.",Stabbing / assault,"Orange County, Florida",Concerned,0.59
C309,"Um, my friend, it was my very first trip through and out to now.",Stabbing / assault,Ohio,Concerned,0.59
C310,"I'm going to have to go on my side with a good nap. What's your address, ma'am? I'm glad you're...",Missing person / abduction,"Washtenaw County, Michigan",Concerned,0.56
C311,"Oh, I'm just very about.",Suicide / self-harm,"Greenwood, South Carolina",Distressed,0.65
C312,"I guess it was a long-distance workout and the way you come running out fods and some man is in there, it's eating everywhere.",Shooting / gun violence,North Carolina,Concerned,0.63
C313,"Okay, I met a wild cat who's in. We've had a one of our keepers.",Animal attack,Oregon,Concerned,0.49
C314,This might go to five weeks after. I got the peak with my yard and the dog is in my yard.,Shooting / gun violence,Arizona,Concerned,0.63
C315,"I've been called over to my father-in-law, because he ought to fall with my mother-in-law. He's been flacing up himself.",Shooting / gun violence,"Prescott, Arizona",Concerned,0.63
C316,"My girlfriend is right and I think she's dead. I need someone here now. Okay, she breathing.",Homicide / death investigation,"Clarksville, Indiana",Distressed,0.66
C317,"I'm sorry. Anyhoc's cool. I think there's somebody shooting in here. Anyhoc's cool. Okay, what makes you...",Shooting / gun violence,Connecticut,Concerned,0.63
C318,"Hey, look at all the magic school. 12 Bickets and Drive. Yeah, I've got that. What's going on down there? I believe that you...",Shooting / gun violence,Connecticut,Concerned,0.63
C319,"I'm a teacher in the school. Okay, where are you in the school?",Shooting / gun violence,Connecticut,Concerned,0.63
C320,"Yes, my husband's on phone. There's a car here within a cell rifle shooting it's police and they've never had a house",Shooting / gun violence,Iowa,Concerned,0.63
C321,"Oh, please, please. This is one nine Wind him court with",Shooting / gun violence,Illinois,Concerned,0.63
C322,"by the door. If anybody comes down here, I'm sure you're here. Okay, don't. We don't want to shoot anybody else, okay?",Shooting / gun violence,Illinois,Concerned,0.63
C323,We got a two-and-a-half wait on the court moaning.,Medical emergency,"the court, Washington",Concerned,0.53
C324,I have a nine week old infant and he just stopped breathing. Okay.,Medical emergency,"Barnstable, Massachusetts",Concerned,0.53
C325,We believe that there is a shooter. We are looking to stop.,Shooting / gun violence,Nevada,Concerned,0.63
C326,I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera.,Shooting / gun violence,Nevada,Concerned,0.63
C327,The gunshot wound to the chest. Thank you.,Shooting / gun violence,Arizona,Concerned,0.63
C328,Can you hold for just a second? I just saw somebody run into the Compass Bank on Thomas in 20.,Shooting / gun violence,Arizona,Concerned,0.63
C329,"no railroad tracks, you've got to train that key rail to the National Fire.",Building fire,"Casselton, North Dakota",Concerned,0.59
C330,"I have a baby who is sleeping. My everything is done. I have a hooded, I have a coffee TV. She's a big head.",Medical emergency,"Reedsburg, Wisconsin",Concerned,0.53
C331,"And the emergency. Yes, there's no word to see us. I'm going to go down to the small parking lot. I'm going to go down to the parking lot. I'm going to go down to the parking lot.",Shooting / gun violence,New Jersey,Concerned,0.63
C332,"I'm going to have a water to see the band out. Alright, hold on, first you're a self-esteem. I'm going to hold.",Stabbing / assault,South Carolina,Concerned,0.59
C333,"So there's when it goes shot at the Comse Theater, Burry Theater, Cobb and West Chapel Gunshots are checked.",Shooting / gun violence,"Pasco County, Florida",Concerned,0.63
C334,I'm gonna come over with what is your name? What is your name? I'm gonna have you! I'm gonna have you!,Shooting / gun violence,Maryland,Concerned,0.63
C335,"Look right here. He's been stabbed really bad. Okay, if he breathe a man",Stabbing / assault,North Carolina,Concerned,0.59
C336,"I'm going to go for a party, a party, a party, a party, a party, a party.",Burglary / robbery / intruder,Illinois,Concerned,0.47
C337,"My daughter took a hand-out-bouncy ball. Okay, and you're at 25, 25 North 10th Street? Yes.",Stabbing / assault,Wisconsin,Concerned,0.59
C338,"Well, I'm 41 going south and I'm going to do a cross-street right now.",Homicide / death investigation,Florida,Distressed,0.66
C339,I have a dream to do better! Where's the fire at? I'm not. Where's not?,Building fire,"Livingston County, Michigan",Concerned,0.59
C340,a bad police chief with having a vehicle pulled across the street in the resident. Come out and shot it.,Shooting / gun violence,Michigan,Concerned,0.63
C341,"I've been taken out of my house at gunpoint. I'm going to head to this, I'm going to head to the police station.",Homicide / death investigation,Florida,Distressed,0.66
C342,"and my neighbor is not from my door. And our husband's mission, we went down to where the mail box is.",Homicide / death investigation,Kentucky,Distressed,0.66
C343,"I'm gonna go just to out of my arms or watch me with me. But I'm gonna cry, I'm shocking to die and be stupid.",Shooting / gun violence,North Carolina,Concerned,0.63
C344,on. Land is on the ground. I didn't go and check you. At Mel is on the ground? Yes.,Medical emergency,Texas,Concerned,0.53
C345,this is Kaller with a transfer at your best western. I'm a one-shot can someone has been shot in the next. Go to the next one.,Shooting / gun violence,"Roanoke, Texas",Concerned,0.63
C346,We're missing a child. Three years old. You're missing a three year old.,Missing person / abduction,North Carolina,Concerned,0.56
C347,What happened? My wife's pregnant. She's an excuse to make the hospital. She said she can't read the word.,Medical emergency,"Sarasota County, Florida",Concerned,0.53
C348,emergency yes I am on top road I am in water and it's taken me away yay ma'am we're on the,Weather / environmental emergency,"top road, Missouri",Concerned,0.49
C349,"Okay, 134, transferring it was shooting within three, that fixed seven, few, okay. Yeah, I'm not.",Shooting / gun violence,Florida,Concerned,0.63
C350,My walk up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up,Homicide / death investigation,"Boise, Idaho",Distressed,0.66
C351,color on the line she's uh... gotta be quiet somebody just broken to our support thirty six low-,Burglary / robbery / intruder,Massachusetts,Concerned,0.47
C352,"Hello, my mom and dad. Okay, so it's medical. Is it medical, sir?",Shooting / gun violence,"Seminole County, Florida",Concerned,0.63
C353,I've got a woman in my bank pointing a rifle at all of us and all of our customers. I need police now,Burglary / robbery / intruder,Florida,Concerned,0.47
C354,We want contact with two carriers with a carrier and come out.,Weather / environmental emergency,"Allegan County, Michigan",Concerned,0.49
C355,We need an evidence we're going on. My mom is...,Medical emergency,"Tarrant County, Texas",Concerned,0.53
C356,"Okay, what's the problem on rolling all the stuff? What? Something rolling all the stuff, believe it. What do you mean, something?",Homicide / death investigation,"Concord, North Carolina",Distressed,0.66
C357,"Our little boy stop breathing. Is he breathing now? No, he's not.",Medical emergency,Edgecombe County,Concerned,0.53
C358,"Yes, I'll pass off the map. You put on 10 straight on there for the court. OK, you did.",Shooting / gun violence,Indiana,Concerned,0.63
C359,"And then mother said that. Okay, your mama fell down. Yeah. Okay, where are you at?",Medical emergency,Oklahoma,Concerned,0.53
C360,"My kids have their Mrs. 3 o'clock today, my 7-year-old and my 3-year-old, giving it the",Homicide / death investigation,Texas,Distressed,0.66
C361,And has been missing since 7 o'clock this morning.,Missing person / abduction,North Carolina,Concerned,0.56
C362,I have someone here that I need to be arrested in my home.,Burglary / robbery / intruder,"Orange County, Florida",Concerned,0.47
C363,Thank you everyone. And I'll... We'll get in the morning.,Non-emergency / misuse of 911,Florida,Calm,0.06
C364,Thank you everyone. And I'll... We'll get in the morning.,Public safety / unusual incident,"Fulton County, Florida",Calm,0.27
C365,Thank you everyone. And I'll... We'll get in the morning.,Non-emergency / misuse of 911,Florida,Calm,0.06
C366,Thank you everyone. And I'll... We'll get in the morning.,Public safety / unusual incident,"Fulton County, Florida",Calm,0.27
C367,Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.,Building fire,Florida,Concerned,0.59
C368,"Oh, my wife, go for you in the dance club and I think she gets.",Water emergency / drowning,"Lebanon, Ohio",Concerned,0.59
C369,But we have a bear mauling. I am out on the trail. I just am fortunate to start.,Animal attack,"Anchorage, Alaska",Concerned,0.49
C370,And then I want to show you what I'm saying.,Stabbing / assault,Texas,Concerned,0.59
C371,This is American squad Mike. I'm a local hot guy. Can I get to it?,Medical emergency,Washington,Concerned,0.53
C372,"North-on figure star looks like we have aircraft, so I'm going to lay down and turn the there's",Traffic collision,Nevada,Concerned,0.49
C373,23-13 what? 23-13 Cab This is 23-13 Cambridge Yes,Traffic collision,Nevada,Concerned,0.49
C374,"Oh, I'm sorry, I've got to remember.",Public safety / unusual incident,"Jefferson County, Tennessee",Calm,0.27
C375,"Yes, I walked in my car and you're not in your car out of your car. Yes, in my car.",Non-emergency / misuse of 911,"King County, Washington",Calm,0.06
C376,It's a little far from here to come. Hello. You get me to come.,Stabbing / assault,Nevada,Concerned,0.59
C377,"So, child has been left on my doorstep. Okay. What's your address?",Child welfare / unattended child,Massachusetts,Concerned,0.42
C378,I'm going to be in the room.,Medical emergency,Arizona,Concerned,0.53
C379,"There's a big crew of plaques, maybe. So it's connoza pole of art in the 180.",Traffic collision,California,Concerned,0.49
C380,It was a train just quite outside of our metro link.,Traffic collision,California,Concerned,0.49
C381,"Yes, my am one name is Special Aegas Richard A. Smith, badge number zero time.",Rescue / person trapped,Tennessee,Concerned,0.55
C382,"We'll be in the office, I'll drive on now. Please, please. We're all bleeding.",Burglary / robbery / intruder,"Tarrant County, Texas",Concerned,0.55
C383,"Well, it's a staple piece in the channel. Let's go for this having a baby right now. Okay, sir.",Medical emergency,Massachusetts,Concerned,0.53
C384,I don't know if I'll make it. I'm trying to...,Medical emergency,"Central County, Missouri",Concerned,0.53
C385,My book runs outside. He's been stabbed. Okay. And he's...,Stabbing / assault,Florida,Concerned,0.59
C386,I'm the guy that's in a big trouble right now. You're in pretty big trouble? What's your name?,Shooting / gun violence,California,Concerned,0.63
C387,"Yes, I think somebody's breaking into my house. Please, okay, stay on the phone. Why did you think someone's trying to break it?",Burglary / robbery / intruder,Indiana,Concerned,0.47
C388,I like going to the fabric where I got land over by the rail going.,Traffic collision,Texas,Concerned,0.49
C389,I think my son's been looking. We're at. We're in the Evergrip.,Burglary / robbery / intruder,"Stark County, Ohio",Concerned,0.47
C390,"be not very as warm, crazy. I think you're going to try to tell yourself. I need an aim.",Shooting / gun violence,North Carolina,Concerned,0.63
C391,"Well, I sent an emergency computer wide on one leg on one side at the cam drawbridge on 95.",Rescue / person trapped,Virginia,Concerned,0.55
C392,Come on. Yeah! More now! Yeah! Nothing more about it!,Public safety / unusual incident,"Milwaukee County, Wisconsin",Calm,0.27
C393,or you into the TFA agent that looked like you're giving a heart attack or stroke or something is just rushing.,Medical emergency,Texas,Concerned,0.53
C394,"Well, I just got a phone call saying that my friend, she was in a basement apartment in that house. And apparently the bl-",Shooting / gun violence,Colorado,Concerned,0.63
C395,There's a fire way here off of Broadway. Broadway and Poyce.,Stabbing / assault,California,Concerned,0.59
C396,on there. We just came in to my sister's house and she's on the floor for the girl's image.,Homicide / death investigation,Utah,Distressed,0.66
C397,My girlfriend went left last night. We were at the Stephen Ball and Stephen Hill.,Homicide / death investigation,"Carlsbad, New Mexico",Distressed,0.66
C398,My cat attacked our seven-month-old child.,Stabbing / assault,Oregon,Concerned,0.59
C399,and my friend is out with drinking and she woke me up and she sick and now she's not responding.,Medical emergency,Florida,Concerned,0.53
C400,and it's a fire at somebody else called the show. I'm going to go to the Avenue. It's not very alumnus.,Building fire,"Jersey City, New Jersey",Concerned,0.59
C401,"28 grand. We need for money from all you'd need to find you at the house. We need a grand in any apartment or... Yes, please, please.",Building fire,"Jersey City, New Jersey",Concerned,0.59
C402,"We've seen somebody just, I've seen one by following, showing just a little bit.",Homicide / death investigation,"Anderson, South Carolina",Distressed,0.66
C403,I am very very happy to be here. I am very very happy to be here. I am very very happy to be here.,Water emergency / drowning,California,Concerned,0.59
C404,It's somebody got shot at? Somebody got shot at?,Building fire,"Washington County, Oregon",Concerned,0.59
C405,"You want daughter or not, please. Okay, what's the address? System of 40.",Medical emergency,"Cleveland, Ohio",Concerned,0.53
C406,"The bedroom is on fire. My house is going fast. Okay, we're on the way.",Building fire,"An Orange County, California",Concerned,0.59
C407,"How are you doing? I'd like to report like a double motor in Cambridge, Orange. Okay, do you know that?",Homicide / death investigation,"Cambridge, North Carolina",Distressed,0.66
C408,1-6-25 air bore road on the inside. 1-75 air bore road.,Shooting / gun violence,"the inside. 1-75 air bore road, Georgia",Concerned,0.63
C409,I work. I work on the bed. Let me come up and shoot me. Ah?,Homicide / death investigation,New York,Distressed,0.66
C410,I need them help. What's going on?,Medical emergency,"Deltona, Florida",Concerned,0.53
C411,If there's a fire. Give a fire what address man?,Building fire,New York,Concerned,0.59
C412,I something just exploded at the end of say that okay is here any,Traffic collision,"Hanscom Airport, Massachusetts",Concerned,0.49
C413,I think I'm just trying to break into my home.,Burglary / robbery / intruder,Florida,Concerned,0.47
C414,"Oh, my famous grandmother has been a lot of help from. He's unconscious and a fool. Okay, man.",Medical emergency,"Gaston County, North Carolina",Concerned,0.53
C415,I just shot my mother and my... You shot your mother?,Homicide / death investigation,"Clackamas County, Oregon",Distressed,0.66
C416,I guess we'll just ask a shooting on third avenue and Nickerson.,Shooting / gun violence,"third avenue, Washington",Concerned,0.63
C417,"Hi, I'm not going to see you right now. You're so glad I made you. I'm going to blow from you.",Weather / environmental emergency,Florida,Concerned,0.49
C418,Airport. We have an aircraft declaring an emergency that's going to land on the beach at Venice. Close to the airport. I'm not sure it got...,Traffic collision,Florida,Concerned,0.49
C419,I want to show I think someone's in. Can you hear the front door? I'm hearing those front door.,Rescue / person trapped,"Rossmoor, California",Concerned,0.55
C420,"We heard them looked in, the garage door was up. I thought the gentleman was backing out and I went back.",Homicide / death investigation,Florida,Distressed,0.66
C421,all the bars we've been robbed we've been beaten and the family dollars I'm bleeding,Burglary / robbery / intruder,"Wilmington, North Carolina",Concerned,0.47
C422,I have a gun range officer that got shot in the head. We're at a temperature to point,Shooting / gun violence,Nevada,Distressed,0.65
C423,"I need a 10 minutes right now for you. Okay, what's the address?",Shooting / gun violence,"Charleston County, South Carolina",Concerned,0.63
C424,"We go up to this lady, she's laying in the road. I think she would hit by a car. You got to head in, Dree.",Traffic collision,"Muskegon, Michigan",Concerned,0.49
C425,"I don't really know where I'm at, but more on my crew, this guy Rob, did he got shot? Okay. Fun.",Shooting / gun violence,"Guilford County, North Carolina",Concerned,0.63
C426,She's got me. Who got you? There's home now. Hold on.,Stabbing / assault,Colorado,Concerned,0.59
C427,"Please have me, please try to get my house. I wonder what are they doing? They've tied my fund on my schedule right now.",Shooting / gun violence,Arizona,Concerned,0.63
C428,"There's been a shooting on the shot in the end of the cat. It will be... Stop, stop, okay. It's the enders.",Shooting / gun violence,New Mexico,Distressed,0.65
C429,"I love me, I do have a lawyer. Are you at a house? Where's the house? Are you?",Missing person / abduction,"Bountiful, Utah",Concerned,0.56
C430,"Yes, man, I just shot my daughter and shot all my grandkids.",Homicide / death investigation,"Gilchrist County, Florida",Distressed,0.66
C431,I'm not finding ways to work on Northbound on Redwood Road.,Shooting / gun violence,"Northbound on Redwood Road, Utah",Concerned,0.63
C432,I don't want to be here.,Shooting / gun violence,California,Concerned,0.63
C433,I've got a ride from someone with teeth for a cold. My 35-7.,Building fire,Oklahoma,Concerned,0.59
C434,"And there was a guy and it was a pesto, you know, it was probably a friend, but he's like pointing at everybody.",Shooting / gun violence,Ohio,Concerned,0.63
C435,"I'll shut my husband. Please fill the shots with me. Okay, hold on for me. Okay.",Shooting / gun violence,North Carolina,Concerned,0.63
C436,"I'm sorry, there's a situation here. We have residents that I think they store a car.",Missing person / abduction,"Seminole County, Florida",Concerned,0.56
C437,I'm in a glowing lake where I look away.,Water emergency / drowning,"Cherokee County, Georgia",Concerned,0.59
C438,I think it's murder. What makes you think that? Because,Homicide / death investigation,Arizona,Distressed,0.66
C439,So under in my husband's head eyes are rolling back. He is just not breathing.,Medical emergency,California,Concerned,0.53
C440,I just received a call for a few minutes ago from one of our VP's who states that he's,Burglary / robbery / intruder,"New Britain, Connecticut",Concerned,0.47
C441,There's a Dig Man at the park 31st Avenue in Valmont.,Animal attack,"the park 31st Avenue, Arizona",Concerned,0.49
C442,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes",Shooting / gun violence,"Riverside County, California",Concerned,0.63
C443,There has been four done for us. Close to a second. And it doesn't fail.,Shooting / gun violence,North Carolina,Concerned,0.63
C444,"Oh, and I cut my wife. Oh, we're gonna dance up and I think she gets. I want you at the address.",Homicide / death investigation,"Warren County, New Jersey",Distressed,0.66
C445,"We just found the body of a baby, my grandson.",Missing person / abduction,North Carolina,Concerned,0.56
C446,I would have brought behind him and his brother-in-law went off and I called down there because I was saying this.,Shooting / gun violence,"Lincoln County, North Carolina",Concerned,0.63
C447,We have a different us counting utilities emergency this back we found a human skull. Oh my gosh.,Missing person / abduction,"Orange County, Florida",Concerned,0.56
C448,I don't want to want to emergency. I need a police to come to my...,Shooting / gun violence,"West Palm Beach, Florida",Concerned,0.63
C449,Hello? Like that in my uncle just got shot. Okay. I don't know how to let go. Two people shot it this time.,Shooting / gun violence,Florida,Concerned,0.63
C450,"on the side of the dive. And you can tell my little cousin right now. Okay, can you tell us?",Building fire,California,Concerned,0.59
