Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score,Extracted_Names,Urgency_Phrases,Audio_File,Event_Source,Event_Confidence,Location_Source,Location_Confidence,Sentiment_Urgency_Source,Metadata_Title,Metadata_Description
C230,someone on my back or to black man. And what is your address? 3 6 1 3 8 little.,Burglary / robbery / intruder,North Carolina,Concerned,0.47,Unknown,None detected,911_first6sec/call_250_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Burglary,"– In June 2012 a Greenville (NC) woman dialed 911 to report two men had broken into her home. She stayed on the line as officers responded, and arriving officers arrested two men."
C231,"Thank you, like I'm putting. How the power of this kid. I'm rolling for the ripple of the nose.",Burglary / robbery / intruder,Texas,Concerned,0.47,putting; rolling for the,None detected,911_first6sec/call_251_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Accidental dialing,"– In June 2012 two men were stealing copper and aluminum wire from a Lufkin (Tex.) construction site when one of them accidentally dialed 911. Dispatchers determined the pair’s location and sent officers, who arrested the men as they drove away."
C232,I'm going to come with us. Where are you at? I'm on end.,Shooting / gun violence,"Sanger, California",Concerned,0.63,going to come; on end,None detected,911_first6sec/call_252_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Officer shooting,"– In June 2012 a man in Sanger (Calif.) dialed 911 and asked for officers to be dispatched, apparently in an attempt at suicide-by-cop. The man hung up and was later confronted by officers, who did fatally shoot him."
C233,Look in my parents are shocked. You know what? My parents were shocked. You panicked with shots.,Homicide / death investigation,Florida,Distressed,0.66,Unknown,None detected,911_first6sec/call_253_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Parent murders,"– In Dec. 2010 a Naples (Fla.) 14 year-old shot and killed his parents at their home, and then dialed 911. He did not provided a motive or explanation during the call. In July 2012 he pled no contest and was sentenced as an adult to 20 years in prison."
C234,We had several police hire earlier and did a report based on...,Burglary / robbery / intruder,North Carolina,Concerned,0.47,Unknown,police,911_first6sec/call_254_0.wav,Metadata,0.89,Metadata state,0.72,Transcript + incident context,Stabbing,– In July 2012 an intoxicated man tried to break into the Flat Rock (NC) home that he’d voluntarily during a sheriff’s visit several hours earlier. The female caller described the situation and eventually stabbed the man when he broke in. (5 minutes of a 16-minute call)
C235,"Oh, my brother is having a great time to note that. Okay.",Shooting / gun violence,Colorado,Concerned,0.63,Unknown,None detected,911_first6sec/call_255_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Officer shooting,"– In July 2012 Broomfield (Colo.) police officers shot and killed a 21 year-old man who was distraught and was carrying an Airsoft replica pistol. The man’s younger brother had dialed 911 minutes earlier and explained the situation, including that Kyle Miller was carrying the replica."
C236,"Well, I just strangled my girlfriend. You strangled your girlfriend? Yep. What's your name?",Stabbing / assault,"Alliance, Ohio",Concerned,0.59,Unknown,None detected,911_first6sec/call_256_0.wav,Transcript + metadata,0.72,Metadata description,0.82,Transcript + incident context,Murder 911 call,– In July 2012 a man in Alliance (Ohio) dialed 911 and confessed that he had strangled his girlfriend. Arriving police arrested Randy Ring without incident.
C237,We had an airboat accident. I'm not sure if they're all in trees. I don't know.,Stabbing / assault,"Moore Haven, Florida",Concerned,0.59,not sure if,accident,911_first6sec/call_257_0.wav,Metadata,0.79,Metadata description,0.82,Transcript + incident context,Alligator attack,"– In July 2012 a 17 year-old boy in Moore Haven (Fla.) was attacked by an alligator while swimming in a river, and his arm was bitten off. A nearby teen dialed 911 to report the incident."
C238,"Hey, I think I may have found",Homicide / death investigation,"Dare County, Ohio",Distressed,0.66,Unknown,None detected,911_first6sec/call_258_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Found body,"– In July 2012 a construction worker stopped along an isolated road in Dare County (Ohio), and spotted a suspicious plastic bag. He investigated and saw a body inside, then dialed 911. Deputies recovered the body of Lynn Jackenheimer, 33, who they say was killed by her estranged boyfriend during a vacation from Ohio."
C239,I felt this is a lot of... ...and... drink.,Fall / accidental injury,"Palatine, Illinois",Concerned,0.48,Unknown,None detected,911_first6sec/call_261_0.wav,Metadata,0.89,Metadata description,0.82,Transcript + incident context,Manhole fall,"– In August 2012 a woman in Palatine (Ill.) fell into an uncovered manhole, then dialed 911 for help. It took emergency crews about 10 minutes to locate her, and she was bruised but unharmed."
C240,"I'm going to make a bomb. Okay, you said the hospital? Yes. Did you ever see now?",Shooting / gun violence,Ohio,Concerned,0.63,going to make,None detected,911_first6sec/call_262_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Hospital shooting,"– In August 2012 a man came into Akron (Ohio) Medical Center, approached his wife in a hospital bed, and fatally shot her. Several people dialed 911, including a hospital staffer. John Wise was arrested without incident and is charged with murder."
C241,"how some guys shooting their gun, some temple or something.",Homicide / death investigation,"Milwaukee County, Wisconsin",Distressed,0.66,Unknown,shooting; gun,911_first6sec/call_263_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Multiple murders,"– On August 5, 2012 a man entered an Oak Creek (Wisc.) Sikh temple and shot nine people, six fatally. A OPD officer was shot 10 times but survived, and the gunman was killed by another officer during a gunfight. Several people dialed 911 and reached the Milwaukee County sheriff’s comm center. Also listen to the 911"
C242,I was just going to 6th temple and there was a house in the parking lot and there was a bunch.,Homicide / death investigation,"Milwaukee County, Wisconsin",Distressed,0.66,Unknown,None detected,911_first6sec/call_263_1.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Multiple murders,"– On August 5, 2012 a man entered an Oak Creek (Wisc.) Sikh temple and shot nine people, six fatally. A OPD officer was shot 10 times but survived, and the gunman was killed by another officer during a gunfight. Several people dialed 911 and reached the Milwaukee County sheriff’s comm center. Also listen to the 911"
C243,"I'm always learning to sing. Um, yes. Somebody just said my baby. Please be there. They just did what? Say my baby.",Stabbing / assault,New Jersey,Concerned,0.59,always learning to,please,911_first6sec/call_264_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Murder-suicide,"– In August 2012 a Camden (NJ) woman fatally stabbed her 2 year-old child, and then dialed 911 to admit the crime. Before police could enter the house, the woman fatally stabbed herself."
C244,"All this, it looks like a dead man in the car. I'm gonna put him in here.",Homicide / death investigation,Kentucky,Distressed,0.66,gonna put him,dead,911_first6sec/call_265_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Murder,"– In August 2012 a Corbin (Ken.) man shot and killed his daughter’s boyfriend, whom he claimed had been beating his daughter over the past months. William Cox dialed 911 to confess to the crime, and officers arrested him without incident."
C245,Can I help you? Somebody who broke with our daughter's train to break into my bedroom. What's your address?,Burglary / robbery / intruder,"Clark County, Washington",Concerned,0.47,Unknown,None detected,911_first6sec/call_266_0.wav,Transcript,0.82,Metadata description,0.76,Transcript + incident context,Intruder shot,– In August 2012 a Clark County (Wash.) couple were asleep at home when a man entered an unlocked rear door. The couple locked themselves in their bedroom as the man tried to break into the room. The male resident armed himself with a .22-cal. handgun and fatally shot the intruder during a 911 to dispatcher at the Clark Regional Emergency Services Agency.
C246,"Please, please work. I'll get there for the maturity here. They're hearing, we're aware and they're shooting.",Shooting / gun violence,New Jersey,Concerned,0.63,Unknown,shooting; please,911_first6sec/call_267_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Supermarket shootings,"– In August 2012 an ex-soldier working at an Old Bridge (NJ) supermarket for two weeks armed himself with an AK-47 and fatally shot two employees, and the killed himself with a handgun. Several employees dialed 911 for help."
C247,"Please, Farron. 911, this man's been having a hard attack. Brooke, we're going to start CPR on the hem, okay? I'm going to jump.",Medical emergency,"Washington County, Oregon",Concerned,0.53,going to jump,please,911_first6sec/call_268_0.wav,Metadata,0.82,Metadata description,0.76,Transcript + incident context,Heart attack CPR,"– In Sept. 2012 Washington County (Ore.) 911 dispatcher Rita McQuiston fielded a call from a woman whose husband had suffered a heart attack. McQuiston provided CPR instructions while EMS units were enroute. The husband survived, and later the couple"
C248,you. I'll be good you off at the shot. What agency sir?,Shooting / gun violence,Florida,Concerned,0.63,Unknown,shot,911_first6sec/call_269_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Off-duty officer shooting,– In Sept. 2012 an off-duty Miami-Date (Fla.) officer working a security detail was robbed by three men and then shot. Off. Herman Joseph managed to dial 911 for help despite his wound.
C249,I just killed my mom and my sister. What? I just killed my mom and my sister.,Homicide / death investigation,"Parker County, Texas",Distressed,0.66,Unknown,None detected,911_first6sec/call_271_0.wav,Transcript + metadata,0.75,Metadata description,0.82,Transcript + incident context,Family murders,– In Oct. 2012 a 15 year-old boy in Parker County (Tex.) dialed 911 to confess that he had fatally shot his sister and mother with a .22-cal. revolver. An unnamed sheriff’s dispatcher fielded the call and stayed on the line for 25 minutes as deputies drove to the house in a gated community. Jake Evans safely surrendered and was charged with murder.
C250,I'll call them me because I'm at a party. My son is fit. What park are you at?,Traffic collision,Ohio,Concerned,0.49,at,None detected,911_first6sec/call_272_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Missing child,"– In Nov. 2012 a Cleveland (Ohio) woman dialed 911 to report her 3 year-old son was missing from a city park. Camilia Terry her son Emilliano was last seen on the swing set. However, Terry’s statements were inconsistent, and evidence pointed to her home’s weekly trash pick-up. Police searched the truck’s contents a day later and located the body of her son inside plastic bags. He died of a skull fracture."
C251,We have two boards. Two boards. We have one. We have one. We have one. We have two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards.,Traffic collision,"Westchester County, New York",Concerned,0.49,Unknown,None detected,911_first6sec/call_274_0.wav,Metadata,0.86,Metadata description,0.76,Transcript + incident context,Plane crash,"– In Jan. 2013 a small plane crashed into the Hudson River north of New York City. The 911 call was fielded by Westchester County ECC dispatcher Melissa Seymour, who told the two occupants to leave the plane. Both people were rescued by police officers in boats."
C252,"that then with gardens and cinnings possible in the ladies at the moment. But yeah, I think that it had a hard problem. What is a mad address?",Medical emergency,"Bakersfield, California",Concerned,0.53,Unknown,None detected,911_first6sec/call_275_0.wav,Metadata,0.82,Metadata description,0.82,Transcript + incident context,CPR 911 call,"– In March 2013 a nurse from an independent living facility in Bakersfield (Calif.) dialed 911 when an elderly woman collapsed. The facilities business policy is not to render any medical aid to victims, but only to dial 911. In this case a Bakersfield fire dispatcher pleaded with the caller to have someone start CPR, even a bystander. However, no one did, and the resident died later in a hospital."
C253,I just committed a father's worst thing. Okay. I just shot my daughter.,Shooting / gun violence,Washington,Concerned,0.63,Unknown,shot,911_first6sec/call_276_0.wav,Transcript + metadata,0.72,Metadata state,0.72,Transcript + incident context,Suicidal caller,"– In April 2013 a 69 year-old man shot and killed his son and daughter, then dialed 911. City of Puyallup dispatcher Pamela Mandery answered the call and talked to the man for 10 minutes until officers, convincing him to surrender. Mandery later"
C254,"Yes, I have a three-year-old who's not breathing. To address, ma'am. 1-6-097 North Walgher.",Medical emergency,"Ector County, Texas",Concerned,0.53,Unknown,not breathing,911_first6sec/call_277_0.wav,Transcript,0.82,Metadata description,0.82,Transcript + incident context,CPR call,"– In Jan. 2013 a 3 year-old autistic boy stopped breathing in Ector County (Odessa, Tex.), and the mother dialed 911. A county dispatcher gave her CPR instructions over the next 22 minutes while EMS units responded. The coroner ruled the death of Maxim Shatto as accidental."
C255,I have an emergency. I have three dead people up on top of cold. Here we sweat a wolf tent. My name is,Building fire,"Kanawha County, West Virginia",Concerned,0.59,Unknown,dead; emergency,911_first6sec/call_278_0.wav,Metadata,0.79,Metadata description,0.76,Transcript + incident context,Carbon monoxide deaths,"– In April 2013 three men were off-roading in rural W. Virginia when their vehicle became stuck in mud. The tailpipe became clogged, the vehicle filled with carbon monoxide and the three men were overcome and died. They were later discovered by a group searching for them, and a searcher dialed Kanawha County 911. One of the men was Shain Gandee, a reality TV cast member."
C256,"Those penetrating. Okay, who is shot?",Homicide / death investigation,Utah,Distressed,0.66,Unknown,shot,911_first6sec/call_279_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Murder confession,"– In March 2013 a Salem (Utah) man dialed 911 and spoke to a Salem dispatcher, confessing that he had fatally shot his wife. Police arrived and after some negotiations, the man surrendered."
C257,"I don't, a guy standing here, I think his wife is, is, is, strong with his wife.",Medical emergency,"Macomb County, Michigan",Concerned,0.53,Unknown,None detected,911_first6sec/call_280_0.wav,Metadata,0.96,Metadata description,0.82,Transcript + incident context,Baby delivery,"– In April 2013 a couple pulled to the side of a rural road in Macomb County (Mich.) and delivered their premature baby. However, the baby was not breathing, so the new father flagged down a passing motorist, a 21 year-old criminal justice student at a community college. Ryan Cornelissen dialed 911 and reached dispatcher Steven Kuluk, who gave him CPR instructions. The baby revived, but was hospitalized because of her premature status."
C258,We need help! We need help! Hasn't just happened at my son. I'm trying to figure it out. Please!,Shooting / gun violence,"Newaygo County, Michigan",Concerned,0.63,trying to figure,please,911_first6sec/call_282_0.wav,Metadata,0.75,Metadata description,0.82,Transcript + incident context,Murder-suicide,– In April 2013 a woman in Newaygo County (Mich.) dialed 911 to say her husband had a gun. Deputies arrived to find the woman and her 37 year-old son dead. They also found Charles Hoover dead of a self-inflicted gunshot wound. (partial tape)
C259,late this is a day of war back record to eleven or seven by call the budget or then my shop to eleven or seven,Shooting / gun violence,Oklahoma,Concerned,0.63,Unknown,None detected,911_first6sec/call_283_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Burglar shot,– In April 2013 the owner of a towing company slept in his business one night after a previous burglary. He was awakened by the front door being kicked in and saw a person entering. He fired several shots from a .22-cal. handgun at the burglar and then dialed 911.
C260,"I'm not a good guy. What's in my vehicle, man? Nobody wants you to know where you're at. Where are you?",Homicide / death investigation,Colorado,Distressed,0.66,not,None detected,911_first6sec/call_284_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Road rage murder,"– In Feb. 2012 two motorists were involved in a dispute and a window was broken. One man drove from Denver, across the city line and three blocks into Lakewood, then dialed 911. The calltaker said he must return to to Denver to make a report. The man did so, and when he arrived back near the original scene in Denver, the other motorist drove by firing a handgun. One man in the other car was killed. The incident was captured on the 911 call logging tape. The victim’s family has filed a"
C261,"have you got any reports of a building exposure? Yes, we have. It's going to be Jerry Maswick in North Rock.",Building fire,"North Rock, Texas",Concerned,0.59,Unknown,None detected,911_first6sec/call_286_0.wav,Metadata,0.72,Transcript + metadata state,0.9,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C262,"I like the movie, I like the movie, I like the movie, I like the movie, I like the movie,",Building fire,"West, Texas",Concerned,0.59,Unknown,None detected,911_first6sec/call_286_1.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C263,We just have the explosion and the fire. Yes sir. The,Building fire,"West, Texas",Concerned,0.59,Unknown,fire,911_first6sec/call_286_2.wav,Transcript + metadata,0.72,Metadata description,0.82,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C264,"Gary Marcia, grab all the house blew up. Not the windshield out of my pickup.",Building fire,"West, Texas",Concerned,0.59,Unknown,None detected,911_first6sec/call_286_3.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C265,"Yes, we're West Texas. Our fertilizer plant is blown up and our waste hole.",Building fire,"West, Texas",Concerned,0.59,Unknown,None detected,911_first6sec/call_286_4.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C266,"Look, I'm out! Blow it! Okay, what's the end like? 1879!",Building fire,"West, Texas",Concerned,0.59,out,None detected,911_first6sec/call_286_5.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Industrial explosion,"– On April 17, 2013 a fire at a fertilizer factory in West (Tex.) caused a massive explosion, killing 15 people and injuring over 200. Scores of 911 calls were made to the McLennan County 911 center."
C267,"Oh, do the guy with the costume of the new gear ball right now. Do the chum go with the balls right now. Okay, hand right.",Shooting / gun violence,Virginia,Concerned,0.63,Unknown,right now,911_first6sec/call_287_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Mall shooting,"– On April 12, 2013 a man began shooting a shotgun at the New River Valley Mall (Virg.), killing two women. Several people dialed 911 for help. The gunman was confronted by officers and arrested."
C268,My name is Hans Walters. I work for a lot to take as much upon a police department.,Homicide / death investigation,California,Distressed,0.66,Hans Walters,police,911_first6sec/call_289_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Murder-suicide,"– In Jan. 2013 an off-duty Las Vegas Metro Police lieutenant shot and killed his wife and 5 year-old son, then set fire to the house. Hans Walters then dialed 911 to admit the murders, and to say he was shooting himself. Police arrived to find the house in flames, and investigators later found the three bodies in the fire debris."
C269,"I'm out with the high school, losing everything on. It's very thankful. Lots of fun.",Shooting / gun violence,"La Salle High School, Ohio",Concerned,0.63,out with the,None detected,911_first6sec/call_290_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,High school shooting,– In April 2013 a student at La Salle High School (Cincinnati) attempted to shoot himself during a morning class. Students in the classroom fled and several dialed 911 to report the incident. The student survived.
C270,You need police fire ambulance.,Missing person / abduction,Ohio,Concerned,0.56,Unknown,fire; ambulance; police,911_first6sec/call_291_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Kidnap escape,"– In May 2013 three women who had been kidnapped 10 years earlier managed to escape from a west side Cleveland (Ohio) home. One woman, Amanda Berry, dialed 911 for help and had a 3-minute conversation with calltaker Jack Purdy. The women were teenagers when they were kidnapped off city streets during the period of 2002 to 2004. They broke out of the house and ran to neighbors for help. Arriving officers rescued the women, and later arrested homeowner Ariel Castro. Purdy was later"
C271,We have a tutor in the store. Okay. Do you know if anybody's injured? I'm not sure. I'm not sure.,Shooting / gun violence,Oregon,Concerned,0.63,not sure,injured,911_first6sec/call_292_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Mall shooting,"– In Dec. 2012 a man with an AR-15 rifle walked through the Clackamas Town Center (Ore.) shooting at people. Jacob Roberts killed two people and then himself. County dispatchers fielded 94 calls in 10 minutes, and scores more after Roberts was dead."
C272,"Okay, I need to get yourself to a safe location.",Shooting / gun violence,Oregon,Concerned,0.63,Unknown,None detected,911_first6sec/call_292_1.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Mall shooting,"– In Dec. 2012 a man with an AR-15 rifle walked through the Clackamas Town Center (Ore.) shooting at people. Jacob Roberts killed two people and then himself. County dispatchers fielded 94 calls in 10 minutes, and scores more after Roberts was dead."
C273,Okay. We're at the town center. We're at me. We're at me. We're at me. We're at me.,Shooting / gun violence,Oregon,Concerned,0.63,Unknown,None detected,911_first6sec/call_292_2.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Mall shooting,"– In Dec. 2012 a man with an AR-15 rifle walked through the Clackamas Town Center (Ore.) shooting at people. Jacob Roberts killed two people and then himself. County dispatchers fielded 94 calls in 10 minutes, and scores more after Roberts was dead."
C274,"by one one. Crackham-and-town center for the Cappella Woods fired in the mask. OK, they'll be on her way.",Shooting / gun violence,Oregon,Concerned,0.63,Unknown,None detected,911_first6sec/call_292_3.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Mall shooting,"– In Dec. 2012 a man with an AR-15 rifle walked through the Clackamas Town Center (Ore.) shooting at people. Jacob Roberts killed two people and then himself. County dispatchers fielded 94 calls in 10 minutes, and scores more after Roberts was dead."
C275,"Hi, I'm a suicidal teenager at House 503 Night Hawkeye. I need an ambulance immediately.",Stabbing / assault,"New Hanover County, North Carolina",Concerned,0.59,Unknown,ambulance,911_first6sec/call_293_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Stabbing,"– In May 2013 a Wilmington (NC) man fatally stabbed his father, as the suspect’s sister was on the telephone with a New Hanover County dispatcher, who was later"
C276,"500 feet, roll the cough, throw an ambulance, shot fired, a baby's been hit in the head.",Shooting / gun violence,Utah,Concerned,0.63,Unknown,shot; ambulance,911_first6sec/call_294_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Baby shooting,"– In April 2013 a woman dialed 911 from American Fork (Utah) and reported that her 5 month-old grandson had been shot by the infant’s father. Police arrested Joshua Petersen for the shooting, and said no motive was obvious."
C277,"Can you get an ambulance in a cop? Go up the over to 59, older would drive. 59, what? Older.",Shooting / gun violence,"Stafford County, Virginia",Concerned,0.63,Unknown,ambulance,911_first6sec/call_295_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,VoIP 911 Call,"– In April 2013 a man in Stafford County (Virg.) dialed to report he had shot his wife after she cut him with a knife. However, the call was made on a VoIP line, and was routed to the Doña Ana County (NM) Sheriff’s comm center. Police and EMS units were dispatched to an identical address in Las Cruces, but units quickly discovered it was the wrong city. The man then dialed 911 from a cellular phone and reached the Stafford County dispatcher, who sent law enforcement and EMS units. The VoIP connection was still live during that cellular call."
C278,"Hi, Madenah",Burglary / robbery / intruder,"Richland County, Wisconsin",Concerned,0.47,Unknown,None detected,911_first6sec/call_296_0.wav,Metadata,0.86,Metadata description,0.76,Transcript + incident context,Home invasion,"– In May 2013 a man and woman broke into the garage of a Richland County (Wisc.) home while the occupant was inside, and began stealing items. The occupant confronted the man, and then dialed 911. However, the caller was not entirely clear that a burglary was occurring"
C279,So hurry up because it's a five-way happen. This is a five-way he came from on to my door earlier.,Burglary / robbery / intruder,"Manatee County, Florida",Concerned,0.47,Unknown,hurry,911_first6sec/call_297_0.wav,Metadata,0.82,Metadata description,0.76,Transcript + incident context,In-progress burglary,"– In May 2013 a Manatee County (Fla.) woman dialed 911 when a man attempted to break into her home during the day. The dispatcher obtained a description, and arriving sheriff’s deputies spotted the suspect in the neighborhood and arrested him."
C280,"We went to the quails on the minute. In the last night, the spring of mine here looks like you hit it head.",Medical emergency,"St. Clair County, Illinois",Concerned,0.53,Unknown,None detected,911_first6sec/call_298_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,CPR 911 call,"– In June 2013 a man dialed 911 from a rural St. Clair County (Ill.) home and said his friend was unconscious. During the 20-minute call, a sheriff’s dispatcher gave the man instructions for CPR while EMS tried to find the location. The victim later died."
C281,"Here at the empty over here, someone's been shot. 1220 photograph, Avenue. 1220.",Shooting / gun violence,California,Concerned,0.63,Unknown,shot,911_first6sec/call_299_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Shooting,"– In June 2013 a Bakersfield (Calif.) man dialed 911 to report that he had shot his wife. Officers arrested the man, and the wife survived."
C282,"I'm a 69, 69 East Main. My son did shot his wife.",Shooting / gun violence,"Kalamazoo County, Michigan",Concerned,0.63,Unknown,shot,911_first6sec/call_300_0.wav,Transcript + metadata,0.72,Metadata description,0.76,Transcript + incident context,Murder 911 call,– In June 2013 a Kalamazoo County (Mich.) man dialed 911 to report that his adult son had come to his house and confessed shooting the son’s wife. The father then gave the phone to John Kovach to explain the situation.
C283,I'm going to go to the floor. I'll just go right now. 5-4-8-3. 5-4-1.,Traffic collision,Georgia,Concerned,0.49,going to go,right now,911_first6sec/call_301_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Murder by vehicle,"– In June 2013 a dispute occurred at the house, with the suspect waving a baseball bat. The resident dialed 911 for police, and stayed on the line. Police say the caller followed the man outside and yelled to him that the sheriff was enroute. The man got into his pick-up truck and ran down the caller while he was talking to the dispatcher. Police later arrested the suspect."
C284,"Yes, Sam. Shots fired, St. James.",Shooting / gun violence,"Weber County, Utah",Concerned,0.63,Unknown,None detected,911_first6sec/call_302_0.wav,Transcript,0.82,Metadata description,0.82,Transcript + incident context,Church shooting,"– In June 2013 a man entered Sunday church services in Weber County (Utah) and fired a long gun at his father, seriously injuring him. Several in the congregation dialed 911 for help. The suspect fled, but was captured several hours later."
C285,"Yeah, I just attempted to kill my mother and my father. Okay, where are you at?",Stabbing / assault,"Trumbull County, Ohio",Concerned,0.59,Unknown,None detected,911_first6sec/call_303_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Stabbing murder,"– In June 2013 a man dialed 911 and spoke to a Trumbull County (Ohio) sheriff’s dispatcher, admitting that he had stabbed his mother and stepfather. Deputies arrived and arrested Thomas Starr. The stepfather died at a hospital, but the mother survived."
C286,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to keep you all right now.",Medical emergency,"Delaware County, Oklahoma",Concerned,0.59,Unknown,not breathing; right now,911_first6sec/call_304_0.wav,Transcript,0.82,Metadata description,0.76,Transcript + incident context,Drowning,"– In June 2013 a 7 year-old was found at the bottom of a Delaware County (Okla.) public pool, and a person dialed 911 and spoke to a sheriff’s dispatcher, who seemed confused on the location. It took three minutes for emergency units to be dispatched. The dispatcher resigned amidst an investigation of the response delay."
C287,"My neighbors helped us bring down at 312 Washington Avenue. We're on our way, is anybody inside?",Building fire,"312 Washington Avenue, California",Concerned,0.59,Unknown,None detected,911_first6sec/call_305_0.wav,Metadata,0.96,Transcript + metadata state,0.9,Transcript + incident context,Fatal fire,"– In June 2013 a house fire in Oildale (Calif.) claimed the life of a 21 month-old toddler, who was trapped in the back bedroom. Residents and neighbors attempted a rescue, but were prevented by smoke and flames. A neighbor dialed 911 for help."
C288,I can see why I knew that I was happy with you. I love you.,Medical emergency,"Davis County, Utah",Concerned,0.53,Unknown,None detected,911_first6sec/call_307_0.wav,Metadata,0.79,Metadata description,0.76,Transcript + incident context,Choking child,– In July 2013 a Farmington (Utah) woman dialed 911 when her son choked on a small plastic toy. Davis County 911 dispatcher Amanda Glezos answered the call and guided the mother through CPR. EMS units arrived and transported the 22 month-old to the hospital where he recovered.
C289,I'm reporting an airplane crash at the phone. An airplane crash at the phone? Yeah.,Building fire,California,Concerned,0.59,reporting an airplane,crash,911_first6sec/call_308_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Air crash,"– In July 2013 an Asiana airliner made a short landing at San Francisco airport, striking a seawall and catching fire. Two passengers were initially killed, but the remaining 305 passengers and crew survived, with many able to walk away from the scene. The crash occurred on a Saturday morning, and was witnessed by many people from surrounding areas. Those people and the passengers themselves dialed 911 for help on their cellular phones, and reached the California Highway Patrol (CHP)."
C290,"Hi, we just, where's the camp in Cisco Airport in our airplane just crashed upon landing.",Building fire,"Cisco Airport, California",Concerned,0.59,Unknown,None detected,911_first6sec/call_308_1.wav,Metadata,0.72,Transcript + metadata state,0.9,Transcript + incident context,Air crash,"– In July 2013 an Asiana airliner made a short landing at San Francisco airport, striking a seawall and catching fire. Two passengers were initially killed, but the remaining 305 passengers and crew survived, with many able to walk away from the scene. The crash occurred on a Saturday morning, and was witnessed by many people from surrounding areas. Those people and the passengers themselves dialed 911 for help on their cellular phones, and reached the California Highway Patrol (CHP)."
C291,I'm going to have a number one way to work through them.,Medical emergency,"Palm Coast, Florida",Concerned,0.53,going to have,None detected,911_first6sec/call_309_0.wav,Metadata,0.79,Metadata description,0.82,Transcript + incident context,Choking baby,"– In July 2013 a woman dialed 911 in Palm Coast (Fla.) to report her granddaughter was unconscious in a swimming pool. The woman retrieved the child, and Flager County dispatcher Genice Caccavale, an 11-year veteran, gave her CPR instructions. Read a"
