Incident_ID,Source,Event,Location,Time,Severity,Source_Record_ID,Detail
AUD-204,Audio,Traffic collision,"Oxford, Iowa",Unknown,Medium,C204,I was told to call when my dad did tell whatever I had.
AUD-205,Audio,Shooting / gun violence,"Magna, Utah",Unknown,High,C205,"He only found his dad's tortoises, but I don't know, I don't."
AUD-206,Audio,Shooting / gun violence,Washington,Unknown,High,C206,Hello?
AUD-207,Audio,Homicide / death investigation,Michigan,Unknown,High,C207,There has been a murder suicide. There is no survivors. Please send a phone. What's going on?
AUD-208,Audio,Suicide / self-harm,"Allegan County, Michigan",Unknown,High,C208,"Yeah, then you gotta put these in there. What? I bet you can put these in there. Please, please."
AUD-209,Audio,Shooting / gun violence,"Sunset Beach, North Carolina",Unknown,High,C209,"Yeah, so I'd like to report a shooting please. Okay. See you tomorrow, sir."
AUD-210,Audio,Shooting / gun violence,"Mason County, Washington",Unknown,High,C210,"I just shot my wife. Okay, and what's your address?"
AUD-211,Audio,Homicide / death investigation,Illinois,Unknown,High,C211,He's got it out! Please! That's a good one. Please! Please!
AUD-212,Audio,Homicide / death investigation,"Dalton, Georgia",Unknown,High,C212,a woman came in her with a child screaming that her son had shot for her husband.
AUD-213,Audio,Homicide / death investigation,"Jessup, Iowa",Unknown,High,C213,"Hi, my girlfriend just pulled up and there's a guy that pull up and truck behind her. We think he has a gun."
AUD-214,Audio,Shooting / gun violence,"Jacksonville, Florida",Unknown,High,C214,"Hi, I'm done, Chats. We're all in the forest. You do what? They think I'm Chats."
AUD-215,Audio,Building fire,"Midwest City, Oklahoma",Unknown,High,C215,"I'm not crying, I'm coming in here and I'm going to be there."
AUD-216,Audio,Homicide / death investigation,Connecticut,Unknown,High,C216,"Someone was murdered, I think. Where are you? I'm not sleeping, I'm not sleeping. I'm not sleeping."
AUD-217,Audio,Homicide / death investigation,"Gilbert, Arizona",Unknown,High,C217,"But it was good, just and my mom and my niece and my sister-in-law. What would I be sure to-"
AUD-218,Audio,Burglary / robbery / intruder,"Todd, North Carolina",Unknown,High,C218,"I have a gun shop victim here. Okay, tell me that."
AUD-219,Audio,Homicide / death investigation,Florida,Unknown,High,C219,I just come in and pick it out my trash and my manager's in and out of these idiots. I've got a new...
AUD-220,Audio,Burglary / robbery / intruder,Canada,Unknown,High,C220,to person.
AUD-221,Audio,Shooting / gun violence,"Brevard County, Florida",Unknown,High,C221,I'm going to go to the park.
AUD-222,Audio,Shooting / gun violence,"Bucks County, Pennsylvania",Unknown,High,C222,I would like state police.
AUD-223,Audio,Burglary / robbery / intruder,"The Polk County, Florida",Unknown,High,C223,I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was
AUD-224,Audio,Shooting / gun violence,Washington,Unknown,High,C224,and 59 to Kathy Rases. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in a bit after a month.
AUD-225,Audio,Stabbing / assault,Florida,Unknown,High,C225,exit of this game coming from the beach. There's a guy that's completely naked through his clothes all over.
AUD-226,Audio,Stabbing / assault,Florida,Unknown,High,C226,there's a naked man or the MacArthur's car's ring at the end of the car's way coming towards this case.
AUD-227,Audio,Non-emergency / misuse of 911,"East Hartford, Connecticut",Unknown,Low,C227,"So hi, I'm Maria C. I'm just a photographer. I'm my great-for-delly."
AUD-228,Audio,Medical emergency,"Racine County, Wisconsin",Unknown,High,C228,"I have a boy that was underwater and he's not breathing. How old is the boy? Ah, four."
AUD-229,Audio,Rescue / person trapped,"Hollywood, Florida",Unknown,High,C229,Are you inside the house? Yeah. Are you alone inside the house? Yes.
AUD-230,Audio,Burglary / robbery / intruder,North Carolina,Unknown,High,C230,someone on my back or to black man. And what is your address? 3 6 1 3 8 little.
AUD-231,Audio,Burglary / robbery / intruder,Texas,Unknown,High,C231,"Thank you, like I'm putting. How the power of this kid. I'm rolling for the ripple of the nose."
AUD-232,Audio,Shooting / gun violence,"Sanger, California",Unknown,High,C232,I'm going to come with us. Where are you at? I'm on end.
AUD-233,Audio,Homicide / death investigation,Florida,Unknown,High,C233,Look in my parents are shocked. You know what? My parents were shocked. You panicked with shots.
AUD-234,Audio,Burglary / robbery / intruder,North Carolina,Unknown,High,C234,We had several police hire earlier and did a report based on...
AUD-235,Audio,Shooting / gun violence,Colorado,Unknown,High,C235,"Oh, my brother is having a great time to note that. Okay."
AUD-236,Audio,Stabbing / assault,"Alliance, Ohio",Unknown,High,C236,"Well, I just strangled my girlfriend. You strangled your girlfriend? Yep. What's your name?"
AUD-237,Audio,Stabbing / assault,"Moore Haven, Florida",Unknown,High,C237,We had an airboat accident. I'm not sure if they're all in trees. I don't know.
AUD-238,Audio,Homicide / death investigation,"Dare County, Ohio",Unknown,High,C238,"Hey, I think I may have found"
AUD-239,Audio,Fall / accidental injury,"Palatine, Illinois",Unknown,Medium,C239,I felt this is a lot of... ...and... drink.
AUD-240,Audio,Shooting / gun violence,Ohio,Unknown,High,C240,"I'm going to make a bomb. Okay, you said the hospital? Yes. Did you ever see now?"
AUD-241,Audio,Homicide / death investigation,"Milwaukee County, Wisconsin",Unknown,High,C241,"how some guys shooting their gun, some temple or something."
AUD-242,Audio,Homicide / death investigation,"Milwaukee County, Wisconsin",Unknown,High,C242,I was just going to 6th temple and there was a house in the parking lot and there was a bunch.
AUD-243,Audio,Stabbing / assault,New Jersey,Unknown,High,C243,"I'm always learning to sing. Um, yes. Somebody just said my baby. Please be there. They just did what? Say my baby."
AUD-244,Audio,Homicide / death investigation,Kentucky,Unknown,High,C244,"All this, it looks like a dead man in the car. I'm gonna put him in here."
AUD-245,Audio,Burglary / robbery / intruder,"Clark County, Washington",Unknown,High,C245,Can I help you? Somebody who broke with our daughter's train to break into my bedroom. What's your address?
AUD-246,Audio,Shooting / gun violence,New Jersey,Unknown,High,C246,"Please, please work. I'll get there for the maturity here. They're hearing, we're aware and they're shooting."
AUD-247,Audio,Medical emergency,"Washington County, Oregon",Unknown,High,C247,"Please, Farron. 911, this man's been having a hard attack. Brooke, we're going to start CPR on the hem, okay? I'm going to jump."
AUD-248,Audio,Shooting / gun violence,Florida,Unknown,High,C248,you. I'll be good you off at the shot. What agency sir?
AUD-249,Audio,Homicide / death investigation,"Parker County, Texas",Unknown,High,C249,I just killed my mom and my sister. What? I just killed my mom and my sister.
AUD-250,Audio,Traffic collision,Ohio,Unknown,Medium,C250,I'll call them me because I'm at a party. My son is fit. What park are you at?
AUD-251,Audio,Traffic collision,"Westchester County, New York",Unknown,Medium,C251,We have two boards. Two boards. We have one. We have one. We have one. We have two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two boards. Two board
AUD-252,Audio,Medical emergency,"Bakersfield, California",Unknown,High,C252,"that then with gardens and cinnings possible in the ladies at the moment. But yeah, I think that it had a hard problem. What is a mad address?"
AUD-253,Audio,Shooting / gun violence,Washington,Unknown,High,C253,I just committed a father's worst thing. Okay. I just shot my daughter.
AUD-254,Audio,Medical emergency,"Ector County, Texas",Unknown,High,C254,"Yes, I have a three-year-old who's not breathing. To address, ma'am. 1-6-097 North Walgher."
AUD-255,Audio,Building fire,"Kanawha County, West Virginia",Unknown,High,C255,I have an emergency. I have three dead people up on top of cold. Here we sweat a wolf tent. My name is
AUD-256,Audio,Homicide / death investigation,Utah,Unknown,High,C256,"Those penetrating. Okay, who is shot?"
AUD-257,Audio,Medical emergency,"Macomb County, Michigan",Unknown,High,C257,"I don't, a guy standing here, I think his wife is, is, is, strong with his wife."
AUD-258,Audio,Shooting / gun violence,"Newaygo County, Michigan",Unknown,High,C258,We need help! We need help! Hasn't just happened at my son. I'm trying to figure it out. Please!
AUD-259,Audio,Shooting / gun violence,Oklahoma,Unknown,High,C259,late this is a day of war back record to eleven or seven by call the budget or then my shop to eleven or seven
AUD-260,Audio,Homicide / death investigation,Colorado,Unknown,High,C260,"I'm not a good guy. What's in my vehicle, man? Nobody wants you to know where you're at. Where are you?"
AUD-261,Audio,Building fire,"North Rock, Texas",Unknown,High,C261,"have you got any reports of a building exposure? Yes, we have. It's going to be Jerry Maswick in North Rock."
AUD-262,Audio,Building fire,"West, Texas",Unknown,High,C262,"I like the movie, I like the movie, I like the movie, I like the movie, I like the movie,"
AUD-263,Audio,Building fire,"West, Texas",Unknown,High,C263,We just have the explosion and the fire. Yes sir. The
AUD-264,Audio,Building fire,"West, Texas",Unknown,High,C264,"Gary Marcia, grab all the house blew up. Not the windshield out of my pickup."
AUD-265,Audio,Building fire,"West, Texas",Unknown,High,C265,"Yes, we're West Texas. Our fertilizer plant is blown up and our waste hole."
AUD-266,Audio,Building fire,"West, Texas",Unknown,High,C266,"Look, I'm out! Blow it! Okay, what's the end like? 1879!"
AUD-267,Audio,Shooting / gun violence,Virginia,Unknown,High,C267,"Oh, do the guy with the costume of the new gear ball right now. Do the chum go with the balls right now. Okay, hand right."
AUD-268,Audio,Homicide / death investigation,California,Unknown,High,C268,My name is Hans Walters. I work for a lot to take as much upon a police department.
AUD-269,Audio,Shooting / gun violence,"La Salle High School, Ohio",Unknown,High,C269,"I'm out with the high school, losing everything on. It's very thankful. Lots of fun."
AUD-270,Audio,Missing person / abduction,Ohio,Unknown,Medium,C270,You need police fire ambulance.
AUD-271,Audio,Shooting / gun violence,Oregon,Unknown,High,C271,We have a tutor in the store. Okay. Do you know if anybody's injured? I'm not sure. I'm not sure.
AUD-272,Audio,Shooting / gun violence,Oregon,Unknown,High,C272,"Okay, I need to get yourself to a safe location."
AUD-273,Audio,Shooting / gun violence,Oregon,Unknown,High,C273,Okay. We're at the town center. We're at me. We're at me. We're at me. We're at me.
AUD-274,Audio,Shooting / gun violence,Oregon,Unknown,High,C274,"by one one. Crackham-and-town center for the Cappella Woods fired in the mask. OK, they'll be on her way."
AUD-275,Audio,Stabbing / assault,"New Hanover County, North Carolina",Unknown,High,C275,"Hi, I'm a suicidal teenager at House 503 Night Hawkeye. I need an ambulance immediately."
AUD-276,Audio,Shooting / gun violence,Utah,Unknown,High,C276,"500 feet, roll the cough, throw an ambulance, shot fired, a baby's been hit in the head."
AUD-277,Audio,Shooting / gun violence,"Stafford County, Virginia",Unknown,High,C277,"Can you get an ambulance in a cop? Go up the over to 59, older would drive. 59, what? Older."
AUD-278,Audio,Burglary / robbery / intruder,"Richland County, Wisconsin",Unknown,High,C278,"Hi, Madenah"
AUD-279,Audio,Burglary / robbery / intruder,"Manatee County, Florida",Unknown,High,C279,So hurry up because it's a five-way happen. This is a five-way he came from on to my door earlier.
AUD-280,Audio,Medical emergency,"St. Clair County, Illinois",Unknown,High,C280,"We went to the quails on the minute. In the last night, the spring of mine here looks like you hit it head."
AUD-281,Audio,Shooting / gun violence,California,Unknown,High,C281,"Here at the empty over here, someone's been shot. 1220 photograph, Avenue. 1220."
AUD-282,Audio,Shooting / gun violence,"Kalamazoo County, Michigan",Unknown,High,C282,"I'm a 69, 69 East Main. My son did shot his wife."
AUD-283,Audio,Traffic collision,Georgia,Unknown,Medium,C283,I'm going to go to the floor. I'll just go right now. 5-4-8-3. 5-4-1.
AUD-284,Audio,Shooting / gun violence,"Weber County, Utah",Unknown,High,C284,"Yes, Sam. Shots fired, St. James."
AUD-285,Audio,Stabbing / assault,"Trumbull County, Ohio",Unknown,High,C285,"Yeah, I just attempted to kill my mother and my father. Okay, where are you at?"
AUD-286,Audio,Medical emergency,"Delaware County, Oklahoma",Unknown,High,C286,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to keep you all right now."
AUD-287,Audio,Building fire,"312 Washington Avenue, California",Unknown,High,C287,"My neighbors helped us bring down at 312 Washington Avenue. We're on our way, is anybody inside?"
AUD-288,Audio,Medical emergency,"Davis County, Utah",Unknown,High,C288,I can see why I knew that I was happy with you. I love you.
AUD-289,Audio,Building fire,California,Unknown,High,C289,I'm reporting an airplane crash at the phone. An airplane crash at the phone? Yeah.
AUD-290,Audio,Building fire,"Cisco Airport, California",Unknown,High,C290,"Hi, we just, where's the camp in Cisco Airport in our airplane just crashed upon landing."
AUD-291,Audio,Medical emergency,"Palm Coast, Florida",Unknown,High,C291,I'm going to have a number one way to work through them.
AUD-292,Audio,Homicide / death investigation,Kansas,Unknown,High,C292,"Yeah, this is the emergency, I'm a cab driver, this guy. He's saying..."
AUD-293,Audio,Shooting / gun violence,Utah,Unknown,High,C293,"Can't believe. Can't believe. What happened to me, son? I don't know. I'm anywhere. Please."
AUD-294,Audio,Threat / suspicious activity,Illinois,Unknown,Medium,C294,Help me help me quick. I'll be at the end of the conversation.
AUD-295,Audio,Building fire,California,Unknown,High,C295,I want to merge anybody right now.
AUD-296,Audio,Building fire,California,Unknown,High,C296,There's a fire on the Famicel Bridge if the one was ready. And on the Famicel.
AUD-297,Audio,Shooting / gun violence,"second avenue, Georgia",Unknown,High,C297,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them to hold down to police officer."
AUD-298,Audio,Shooting / gun violence,Iowa,Unknown,High,C298,He's in the house. He's in the house. He's in the house. He's in the house. He's in the house. He's in the house.
AUD-299,Audio,Rescue / person trapped,"Monticello County, Arkansas",Unknown,High,C299,"Yes, I'm using the help. I'm trapped in the backside of this forest fire."
AUD-300,Audio,Non-emergency / misuse of 911,Georgia,Unknown,Low,C300,I'm working at Mike Donald up here in our overnight seven bro
AUD-301,Audio,Shooting / gun violence,"Washington County, Oregon",Unknown,High,C301,"Yes, I didn't tact by a man in the woods while I was hunting. Please send the police to my location."
AUD-302,Audio,Stabbing / assault,"Joint Base Lewis-McChord, Washington",Unknown,High,C302,We're going to stop with the radio lighting and electric supply building. Rainier lighting and electric.
AUD-303,Audio,Shooting / gun violence,Nevada,Unknown,High,C303,"Yes, this is a treasure. It's really a huge and sweet to you, school. I will. I'll hear you."
AUD-304,Audio,Traffic collision,"York County, North Carolina",Unknown,Medium,C304,Here seems to be a bad fight. Next door.
AUD-305,Audio,Missing person / abduction,"South Daytona, Florida",Unknown,Medium,C305,I am thinking of that and we are being followed. It's the honey we kill me.
AUD-306,Audio,Shooting / gun violence,North Carolina,Unknown,High,C306,"I think some people are shooting. Okay, and this is text. Okay."
AUD-307,Audio,Shooting / gun violence,Canada,Unknown,High,C307,"I'm about to kill people. You're about to kill people? Yes. I had a deadly weapon, I..."
AUD-308,Audio,Stabbing / assault,"Orange County, Florida",Unknown,High,C308,"Oh, hello. Hello."
AUD-309,Audio,Stabbing / assault,Ohio,Unknown,High,C309,"Um, my friend, it was my very first trip through and out to now."
AUD-310,Audio,Missing person / abduction,"Washtenaw County, Michigan",Unknown,Medium,C310,"I'm going to have to go on my side with a good nap. What's your address, ma'am? I'm glad you're..."
AUD-311,Audio,Suicide / self-harm,"Greenwood, South Carolina",Unknown,High,C311,"Oh, I'm just very about."
AUD-312,Audio,Shooting / gun violence,North Carolina,Unknown,High,C312,"I guess it was a long-distance workout and the way you come running out fods and some man is in there, it's eating everywhere."
AUD-313,Audio,Animal attack,Oregon,Unknown,Medium,C313,"Okay, I met a wild cat who's in. We've had a one of our keepers."
AUD-314,Audio,Shooting / gun violence,Arizona,Unknown,High,C314,This might go to five weeks after. I got the peak with my yard and the dog is in my yard.
AUD-315,Audio,Shooting / gun violence,"Prescott, Arizona",Unknown,High,C315,"I've been called over to my father-in-law, because he ought to fall with my mother-in-law. He's been flacing up himself."
AUD-316,Audio,Homicide / death investigation,"Clarksville, Indiana",Unknown,High,C316,"My girlfriend is right and I think she's dead. I need someone here now. Okay, she breathing."
AUD-317,Audio,Shooting / gun violence,Connecticut,Unknown,High,C317,"I'm sorry. Anyhoc's cool. I think there's somebody shooting in here. Anyhoc's cool. Okay, what makes you..."
AUD-318,Audio,Shooting / gun violence,Connecticut,Unknown,High,C318,"Hey, look at all the magic school. 12 Bickets and Drive. Yeah, I've got that. What's going on down there? I believe that you..."
AUD-319,Audio,Shooting / gun violence,Connecticut,Unknown,High,C319,"I'm a teacher in the school. Okay, where are you in the school?"
AUD-320,Audio,Shooting / gun violence,Iowa,Unknown,High,C320,"Yes, my husband's on phone. There's a car here within a cell rifle shooting it's police and they've never had a house"
AUD-321,Audio,Shooting / gun violence,Illinois,Unknown,High,C321,"Oh, please, please. This is one nine Wind him court with"
AUD-322,Audio,Shooting / gun violence,Illinois,Unknown,High,C322,"by the door. If anybody comes down here, I'm sure you're here. Okay, don't. We don't want to shoot anybody else, okay?"
AUD-323,Audio,Medical emergency,"the court, Washington",Unknown,High,C323,We got a two-and-a-half wait on the court moaning.
AUD-324,Audio,Medical emergency,"Barnstable, Massachusetts",Unknown,High,C324,I have a nine week old infant and he just stopped breathing. Okay.
AUD-325,Audio,Shooting / gun violence,Nevada,Unknown,High,C325,We believe that there is a shooter. We are looking to stop.
AUD-326,Audio,Shooting / gun violence,Nevada,Unknown,High,C326,I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a camera. I'm wearing a ca
AUD-327,Audio,Shooting / gun violence,Arizona,Unknown,High,C327,The gunshot wound to the chest. Thank you.
AUD-328,Audio,Shooting / gun violence,Arizona,Unknown,High,C328,Can you hold for just a second? I just saw somebody run into the Compass Bank on Thomas in 20.
AUD-329,Audio,Building fire,"Casselton, North Dakota",Unknown,High,C329,"no railroad tracks, you've got to train that key rail to the National Fire."
AUD-330,Audio,Medical emergency,"Reedsburg, Wisconsin",Unknown,High,C330,"I have a baby who is sleeping. My everything is done. I have a hooded, I have a coffee TV. She's a big head."
AUD-331,Audio,Shooting / gun violence,New Jersey,Unknown,High,C331,"And the emergency. Yes, there's no word to see us. I'm going to go down to the small parking lot. I'm going to go down to the parking lot. I'm going to go down to the parking lot."
AUD-332,Audio,Stabbing / assault,South Carolina,Unknown,High,C332,"I'm going to have a water to see the band out. Alright, hold on, first you're a self-esteem. I'm going to hold."
AUD-333,Audio,Shooting / gun violence,"Pasco County, Florida",Unknown,High,C333,"So there's when it goes shot at the Comse Theater, Burry Theater, Cobb and West Chapel Gunshots are checked."
AUD-334,Audio,Shooting / gun violence,Maryland,Unknown,High,C334,I'm gonna come over with what is your name? What is your name? I'm gonna have you! I'm gonna have you!
AUD-335,Audio,Stabbing / assault,North Carolina,Unknown,High,C335,"Look right here. He's been stabbed really bad. Okay, if he breathe a man"
AUD-336,Audio,Burglary / robbery / intruder,Illinois,Unknown,High,C336,"I'm going to go for a party, a party, a party, a party, a party, a party."
AUD-337,Audio,Stabbing / assault,Wisconsin,Unknown,High,C337,"My daughter took a hand-out-bouncy ball. Okay, and you're at 25, 25 North 10th Street? Yes."
AUD-338,Audio,Homicide / death investigation,Florida,Unknown,High,C338,"Well, I'm 41 going south and I'm going to do a cross-street right now."
AUD-339,Audio,Building fire,"Livingston County, Michigan",Unknown,High,C339,I have a dream to do better! Where's the fire at? I'm not. Where's not?
AUD-340,Audio,Shooting / gun violence,Michigan,Unknown,High,C340,a bad police chief with having a vehicle pulled across the street in the resident. Come out and shot it.
AUD-341,Audio,Homicide / death investigation,Florida,Unknown,High,C341,"I've been taken out of my house at gunpoint. I'm going to head to this, I'm going to head to the police station."
AUD-342,Audio,Homicide / death investigation,Kentucky,Unknown,High,C342,"and my neighbor is not from my door. And our husband's mission, we went down to where the mail box is."
AUD-343,Audio,Shooting / gun violence,North Carolina,Unknown,High,C343,"I'm gonna go just to out of my arms or watch me with me. But I'm gonna cry, I'm shocking to die and be stupid."
AUD-344,Audio,Medical emergency,Texas,Unknown,High,C344,on. Land is on the ground. I didn't go and check you. At Mel is on the ground? Yes.
AUD-345,Audio,Shooting / gun violence,"Roanoke, Texas",Unknown,High,C345,this is Kaller with a transfer at your best western. I'm a one-shot can someone has been shot in the next. Go to the next one.
AUD-346,Audio,Missing person / abduction,North Carolina,Unknown,Medium,C346,We're missing a child. Three years old. You're missing a three year old.
AUD-347,Audio,Medical emergency,"Sarasota County, Florida",Unknown,High,C347,What happened? My wife's pregnant. She's an excuse to make the hospital. She said she can't read the word.
AUD-348,Audio,Weather / environmental emergency,"top road, Missouri",Unknown,Medium,C348,emergency yes I am on top road I am in water and it's taken me away yay ma'am we're on the
AUD-349,Audio,Shooting / gun violence,Florida,Unknown,High,C349,"Okay, 134, transferring it was shooting within three, that fixed seven, few, okay. Yeah, I'm not."
AUD-350,Audio,Homicide / death investigation,"Boise, Idaho",Unknown,High,C350,My walk up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up up
AUD-351,Audio,Burglary / robbery / intruder,Massachusetts,Unknown,High,C351,color on the line she's uh... gotta be quiet somebody just broken to our support thirty six low-
AUD-352,Audio,Shooting / gun violence,"Seminole County, Florida",Unknown,High,C352,"Hello, my mom and dad. Okay, so it's medical. Is it medical, sir?"
AUD-353,Audio,Burglary / robbery / intruder,Florida,Unknown,High,C353,I've got a woman in my bank pointing a rifle at all of us and all of our customers. I need police now
AUD-354,Audio,Weather / environmental emergency,"Allegan County, Michigan",Unknown,Medium,C354,We want contact with two carriers with a carrier and come out.
AUD-355,Audio,Medical emergency,"Tarrant County, Texas",Unknown,High,C355,We need an evidence we're going on. My mom is...
AUD-356,Audio,Homicide / death investigation,"Concord, North Carolina",Unknown,High,C356,"Okay, what's the problem on rolling all the stuff? What? Something rolling all the stuff, believe it. What do you mean, something?"
AUD-357,Audio,Medical emergency,Edgecombe County,Unknown,High,C357,"Our little boy stop breathing. Is he breathing now? No, he's not."
AUD-358,Audio,Shooting / gun violence,Indiana,Unknown,High,C358,"Yes, I'll pass off the map. You put on 10 straight on there for the court. OK, you did."
AUD-359,Audio,Medical emergency,Oklahoma,Unknown,High,C359,"And then mother said that. Okay, your mama fell down. Yeah. Okay, where are you at?"
AUD-360,Audio,Homicide / death investigation,Texas,Unknown,High,C360,"My kids have their Mrs. 3 o'clock today, my 7-year-old and my 3-year-old, giving it the"
AUD-361,Audio,Missing person / abduction,North Carolina,Unknown,Medium,C361,And has been missing since 7 o'clock this morning.
AUD-362,Audio,Burglary / robbery / intruder,"Orange County, Florida",Unknown,High,C362,I have someone here that I need to be arrested in my home.
AUD-363,Audio,Non-emergency / misuse of 911,Florida,Unknown,Low,C363,Thank you everyone. And I'll... We'll get in the morning.
AUD-364,Audio,Public safety / unusual incident,"Fulton County, Florida",Unknown,Low,C364,Thank you everyone. And I'll... We'll get in the morning.
AUD-365,Audio,Non-emergency / misuse of 911,Florida,Unknown,Low,C365,Thank you everyone. And I'll... We'll get in the morning.
AUD-366,Audio,Public safety / unusual incident,"Fulton County, Florida",Unknown,Low,C366,Thank you everyone. And I'll... We'll get in the morning.
AUD-367,Audio,Building fire,Florida,Unknown,High,C367,Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.
AUD-368,Audio,Water emergency / drowning,"Lebanon, Ohio",Unknown,High,C368,"Oh, my wife, go for you in the dance club and I think she gets."
AUD-369,Audio,Animal attack,"Anchorage, Alaska",Unknown,Medium,C369,But we have a bear mauling. I am out on the trail. I just am fortunate to start.
AUD-370,Audio,Stabbing / assault,Texas,Unknown,High,C370,And then I want to show you what I'm saying.
AUD-371,Audio,Medical emergency,Washington,Unknown,High,C371,This is American squad Mike. I'm a local hot guy. Can I get to it?
AUD-372,Audio,Traffic collision,Nevada,Unknown,Medium,C372,"North-on figure star looks like we have aircraft, so I'm going to lay down and turn the there's"
AUD-373,Audio,Traffic collision,Nevada,Unknown,Medium,C373,23-13 what? 23-13 Cab This is 23-13 Cambridge Yes
AUD-374,Audio,Public safety / unusual incident,"Jefferson County, Tennessee",Unknown,Low,C374,"Oh, I'm sorry, I've got to remember."
AUD-375,Audio,Non-emergency / misuse of 911,"King County, Washington",Unknown,Low,C375,"Yes, I walked in my car and you're not in your car out of your car. Yes, in my car."
AUD-376,Audio,Stabbing / assault,Nevada,Unknown,High,C376,It's a little far from here to come. Hello. You get me to come.
AUD-377,Audio,Child welfare / unattended child,Massachusetts,Unknown,Medium,C377,"So, child has been left on my doorstep. Okay. What's your address?"
AUD-378,Audio,Medical emergency,Arizona,Unknown,High,C378,I'm going to be in the room.
AUD-379,Audio,Traffic collision,California,Unknown,Medium,C379,"There's a big crew of plaques, maybe. So it's connoza pole of art in the 180."
AUD-380,Audio,Traffic collision,California,Unknown,Medium,C380,It was a train just quite outside of our metro link.
AUD-381,Audio,Rescue / person trapped,Tennessee,Unknown,High,C381,"Yes, my am one name is Special Aegas Richard A. Smith, badge number zero time."
AUD-382,Audio,Burglary / robbery / intruder,"Tarrant County, Texas",Unknown,High,C382,"We'll be in the office, I'll drive on now. Please, please. We're all bleeding."
AUD-383,Audio,Medical emergency,Massachusetts,Unknown,High,C383,"Well, it's a staple piece in the channel. Let's go for this having a baby right now. Okay, sir."
AUD-384,Audio,Medical emergency,"Central County, Missouri",Unknown,High,C384,I don't know if I'll make it. I'm trying to...
AUD-385,Audio,Stabbing / assault,Florida,Unknown,High,C385,My book runs outside. He's been stabbed. Okay. And he's...
AUD-386,Audio,Shooting / gun violence,California,Unknown,High,C386,I'm the guy that's in a big trouble right now. You're in pretty big trouble? What's your name?
AUD-387,Audio,Burglary / robbery / intruder,Indiana,Unknown,High,C387,"Yes, I think somebody's breaking into my house. Please, okay, stay on the phone. Why did you think someone's trying to break it?"
AUD-388,Audio,Traffic collision,Texas,Unknown,Medium,C388,I like going to the fabric where I got land over by the rail going.
AUD-389,Audio,Burglary / robbery / intruder,"Stark County, Ohio",Unknown,High,C389,I think my son's been looking. We're at. We're in the Evergrip.
AUD-390,Audio,Shooting / gun violence,North Carolina,Unknown,High,C390,"be not very as warm, crazy. I think you're going to try to tell yourself. I need an aim."
AUD-391,Audio,Rescue / person trapped,Virginia,Unknown,High,C391,"Well, I sent an emergency computer wide on one leg on one side at the cam drawbridge on 95."
AUD-392,Audio,Public safety / unusual incident,"Milwaukee County, Wisconsin",Unknown,Low,C392,Come on. Yeah! More now! Yeah! Nothing more about it!
AUD-393,Audio,Medical emergency,Texas,Unknown,High,C393,or you into the TFA agent that looked like you're giving a heart attack or stroke or something is just rushing.
AUD-394,Audio,Shooting / gun violence,Colorado,Unknown,High,C394,"Well, I just got a phone call saying that my friend, she was in a basement apartment in that house. And apparently the bl-"
AUD-395,Audio,Stabbing / assault,California,Unknown,High,C395,There's a fire way here off of Broadway. Broadway and Poyce.
AUD-396,Audio,Homicide / death investigation,Utah,Unknown,High,C396,on there. We just came in to my sister's house and she's on the floor for the girl's image.
AUD-397,Audio,Homicide / death investigation,"Carlsbad, New Mexico",Unknown,High,C397,My girlfriend went left last night. We were at the Stephen Ball and Stephen Hill.
AUD-398,Audio,Stabbing / assault,Oregon,Unknown,High,C398,My cat attacked our seven-month-old child.
AUD-399,Audio,Medical emergency,Florida,Unknown,High,C399,and my friend is out with drinking and she woke me up and she sick and now she's not responding.
AUD-400,Audio,Building fire,"Jersey City, New Jersey",Unknown,High,C400,and it's a fire at somebody else called the show. I'm going to go to the Avenue. It's not very alumnus.
AUD-401,Audio,Building fire,"Jersey City, New Jersey",Unknown,High,C401,"28 grand. We need for money from all you'd need to find you at the house. We need a grand in any apartment or... Yes, please, please."
AUD-402,Audio,Homicide / death investigation,"Anderson, South Carolina",Unknown,High,C402,"We've seen somebody just, I've seen one by following, showing just a little bit."
AUD-403,Audio,Water emergency / drowning,California,Unknown,High,C403,I am very very happy to be here. I am very very happy to be here. I am very very happy to be here.
AUD-404,Audio,Building fire,"Washington County, Oregon",Unknown,High,C404,It's somebody got shot at? Somebody got shot at?
AUD-405,Audio,Medical emergency,"Cleveland, Ohio",Unknown,High,C405,"You want daughter or not, please. Okay, what's the address? System of 40."
